"CONTRACT","COST","DOTEST","B2B1RAT","B3B1RAT","BHB1RAT","STATUS","DISTRICT","BTPRATIO","DAYSEST"
1,1379.4,1386.3,1.01397,1.03303,1.06121,1,0,0.33333,250
2,134,85.7,1.00995,1.01092,1.01092,1,1,0.75,45
3,202.3,248.9,1.12084,1.22498,1.30546,0,0,0.5,120
4,397.1,467.5,1.00588,1.11035,1.26733,0,0,0.5,180
5,158.5,117.7,1.01053,1.10247,1.10247,1,0,0.375,80
6,1128.1,1008.9,1.06208,1.09137,1.09137,1,0,0.6,200
7,400.3,473,1.10275,1.1356,1.1356,1,1,0.6,70
8,581.6,785.4,1.09346,1.16794,1.33349,0,0,0.5,200
9,354,370,1.05063,1.28312,1.47836,0,1,0.57143,75
10,138.7,174.3,1.07047,1.19279,1.27559,0,0,0.83333,70
11,383.7,411,1.07508,1.1397,1.1397,1,1,0.42857,60
12,3910.9,3405.9,1.02768,1.04733,1.07683,1,1,0.45455,350
13,362.9,386,1.01691,1.04658,1.04658,0,1,0.375,100
14,196.5,235.4,1.16398,1.19491,1.62532,0,0,0.7,120
15,638,627.4,1.07043,1.16355,1.58125,0,0,0.5,140
16,152.1,175.4,1.07504,1.24451,1.24451,1,1,0.5,75
17,375,432.3,1.05025,1.20642,1.30949,0,0,0.57143,120
18,2284.6,1499,1.016,1.20033,1.20033,1,0,0.6,270
19,551.5,497.7,1.06668,1.10932,1.10932,1,1,0.6,100
20,239.7,194.7,1.02302,1.21276,1.21276,1,1,0.6,65
21,207.9,168,1.05143,1.08977,1.1524,1,1,0.66667,60
22,640.5,767.8,1.06059,1.08447,1.27066,0,0,0.4,90
23,230.5,260.3,1.11029,1.1257,1.1257,1,1,0.42857,125
24,299.9,247,1.08411,1.1018,1.1018,1,1,0.6,80
25,2368.8,2456.8,1.17209,1.1802,1.4855,0,0,0.30769,320
26,496.5,879.4,1.00453,1.17145,1.38498,0,0,0.58333,140
27,1564.9,1303.4,1.00374,1.04983,1.04983,1,0,0.33333,200
28,7387,6107.9,1.01878,1.05413,1.05718,0,1,0.66667,340
29,195.7,199.1,1.0429,1.27466,1.27466,0,1,0.6,50
30,830.5,715.5,1.01755,1.0245,1.08833,1,0,0.57143,135
31,179.1,208.7,1.02474,1.03067,1.6058,0,1,0.625,90
32,150.4,199.1,1.00893,1.06483,1.55218,0,0,0.63636,100
33,240.1,429.2,1.10055,1.16394,1.72898,0,0,0.71429,120
34,586.8,709.9,1.01241,1.08838,1.38652,0,0,0.6,120
35,537.2,676.4,1.03962,1.06037,1.25739,0,0,0.72727,225
36,392.7,490.6,1.07153,1.1277,1.64803,0,1,0.5,180
37,216.5,406.5,1.05636,1.13153,1.57543,0,1,0.82353,130
38,1559.4,1925.3,1.0785,1.0813,1.60339,0,1,0.47619,250
39,88.3,143.1,1.09813,1.26329,1.50073,0,0,0.71429,55
40,268.5,308.1,1.14764,1.1719,1.32518,0,1,0.66667,75
41,189,269.6,1.00993,1.14649,1.95409,0,0,0.85714,115
42,192.8,227.7,1.04378,1.15395,1.4516,0,1,0.83333,60
43,256.2,436.8,1,1.09973,1.89401,0,0,0.88235,125
44,113.6,132.4,1.01195,1.01307,1.6067,0,0,0.69231,70
45,125,121.6,1,1.11019,1.26999,0,0,0.57143,40
46,116.6,114.2,1,1.21566,1.91806,0,0,0.57143,35
47,143.1,172.7,1.08608,1.139,1.38149,0,0,0.6,50
48,36.2,64.4,1.25303,1.31504,1.49919,0,1,0.625,60
49,2518.4,3124.4,1.02196,1.04278,1.3192,0,0,0.57143,255
50,1353.5,1617.5,1.12729,1.22658,1.406,0,1,0.41176,200
51,332.8,376.4,1.00024,1.05449,1.53705,0,0,0.61538,140
52,202.5,300.3,1.1881,1.2318,1.92381,0,0,0.41667,100
53,6043.3,7075,1.02471,1.02528,1.22949,0,0,0.57895,350
54,2280.8,2823.9,1.08084,1.09406,1.39083,0,0,0.53333,330
55,99.9,119,1.16879,1.29648,1.58897,1,0,0.55556,70
56,1461.6,1774.7,1.01678,1.16689,1.54772,0,1,0.57143,220
57,1217.6,1341.1,1.01074,1.01149,1.3908,0,0,0.91667,350
58,258.4,306.4,1.00453,1.01727,1.25857,0,0,0.7,75
59,115.4,117.9,1.06379,1.09767,1.44878,0,1,0.85714,65
60,463.9,540,1.07317,1.10858,1.35774,0,1,0.625,120
61,728.9,763,1.02446,1.03732,1.44687,0,0,0.73333,200
62,3929.9,3941.6,1.00506,1.06041,1.23232,0,0,0.66667,400
63,181.7,194.8,1.08679,1.16042,1.37565,0,1,0.625,60
64,479.5,487.2,1,1.04831,1.3551,0,0,0.53333,140
65,93.5,92.4,1.00468,1.02595,1.19858,0,0,0.83333,60
66,2301.1,2505.6,1.06746,1.09047,1.38057,0,0,0.77778,400
67,136.1,181.1,1.1352,1.23219,1.23219,0,1,0.33333,100
68,144.1,252.9,1.30227,1.30894,1.71178,0,1,0.66667,90
69,65.2,84.8,1.2031,1.36565,1.96397,0,0,0.53846,60
70,161.3,164,1.07334,1.09596,1.47418,0,1,0.8,100
71,1138.5,1254.6,1.00892,1.03438,1.3767,0,0,0.68421,200
72,84.8,97.6,1.05202,1.10115,1.36417,0,0,0.6,50
73,749.1,859.3,1,1.04832,1.49429,0,0,0.92857,180
74,43.7,41.1,1.00048,1.21624,1.33987,0,1,0.8,30
75,2920.7,2812.5,1.05215,1.11637,1.22283,0,0,0.5,315
76,32.6,40.1,1.06642,1.25626,2.0854,0,0,0.7,35
77,1115.1,1148.5,1.00244,1.08541,1.4595,0,0,0.64286,250
78,50.7,59.9,1.29181,1.63089,2.39326,0,0,0.57143,50
79,2229.3,2434.6,1.00386,1.09355,1.216,0,0,0.46154,450
80,2159.9,2698.6,1.00454,1.05874,1.32056,0,0,0.5,360
81,45.9,61.9,1.14934,1.5178,2.1076,0,1,0.57143,60
82,127.3,137.5,1.07749,1.11993,1.38302,0,0,0.66667,30
83,147.8,143.3,1.00567,1.16406,1.16406,1,0,0.6,50
84,470.7,447.8,1,1.01164,1.37056,0,0,0.57143,150
85,188.7,202.5,1,1.09388,1.69629,0,0,0.53846,120
86,4765.2,5035.9,1.00785,1.0476,1.27208,0,0,0.52381,300
87,168.5,163.7,1.05127,1.08435,1.3018,0,0,0.8,30
88,95.9,95.6,1.06483,1.09471,1.40106,0,0,0.8,30
89,106.9,107.9,1.03253,1.07409,1.28517,0,0,0.7,30
90,698.5,646.4,1.01875,1.10615,1.64604,0,0,0.58333,180
91,796,969.7,1.14418,1.16051,1.28223,0,0,0.63636,175
92,689.7,801.6,1.0685,1.14537,1.27266,0,0,0.38462,210
93,831.8,906.8,1.00519,1.03516,1.22892,0,1,0.64286,190
94,2150.2,2161.4,1.04553,1.06808,1.29205,0,0,0.625,400
95,169.8,187.3,1.11882,1.19117,1.19117,0,0,0.75,100
96,923.6,887.4,1,1.00012,1.2923,0,0,0.875,130
97,2527.5,2616.8,1.01785,1.145,1.40809,0,1,0.5,350
98,726.6,778.3,1.04401,1.08922,1.21345,0,1,0.45455,220
99,1187.1,1573.5,1.05288,1.10879,1.35808,0,1,0.5,230
100,138,149.3,1.04753,1.2735,1.306,0,0,0.83333,40
101,147.6,162.2,1.02199,1.24037,1.26737,0,0,0.66667,40
102,94.2,116.1,1.13259,1.15708,1.54419,0,0,0.58333,75
103,580.5,675.4,1.00626,1.08359,1.37753,0,0,0.75,225
104,445.5,435,1.13385,1.2118,1.4172,0,0,0.63636,150
105,110.5,120.1,1.08633,1.13347,1.96465,0,0,0.71429,70
106,45.2,68.3,1.12017,1.13175,1.13175,0,0,0.75,65
107,800.6,1031.5,1.20374,1.23253,1.45298,0,0,0.72727,425
108,495.5,541.8,1.00323,1.13667,1.24085,0,0,0.83333,140
109,1370.1,1377.9,1.04485,1.10819,1.32836,0,0,0.58333,400
110,607.5,809.1,1.01111,1.05622,1.16072,0,0,0.66667,185
111,152.7,161.2,1.02685,1.10447,1.39143,0,0,0.75,155
112,728.2,917,1.02795,1.09383,1.17993,0,0,0.66667,185
113,181.6,146.5,1.01158,1.43074,1.43074,0,0,0.75,135
114,462.9,504.8,1.06679,1.07253,1.20283,0,0,0.5,175
115,169.4,144.5,1.00382,1.02281,1.02281,0,1,0.5,145
116,2473.3,2618.2,1.01709,1.04063,1.05926,0,1,0.33333,630
117,2346.8,2447.8,1.08238,1.08388,1.34398,0,0,0.8,455
118,170.4,196.8,1,1.03571,1.0679,0,0,0.75,75
119,77.9,109.9,1.12864,1.16302,1.16302,0,0,0.6,80
120,4770.9,7511.3,1.04645,1.11915,1.42217,0,1,0.52,600
121,303.3,341.2,1.09503,1.20479,1.40115,0,0,0.77778,210
122,396,419,1.21029,1.25946,1.25946,0,0,0.42857,185
123,150.6,174.5,1.05048,1.73452,1.73452,0,0,0.5,110
124,1404.1,1573.8,1.02724,1.04925,1.24881,0,0,0.58333,550
125,1691.7,1627.1,1.03387,1.11274,1.11898,0,0,0.625,600
126,5196.2,6365.1,1.02538,1.06196,1.30446,0,1,0.42857,805
127,3815.9,4960.8,1.01846,1.04353,1.07254,0,1,0.18182,450
128,122.6,95.4,1.04459,1.05195,1.07457,0,0,0.4,120
129,1571.2,1759.2,1.01214,1.12645,1.27038,0,1,0.625,385
130,4385.5,5556.8,1.12799,1.16978,1.72492,0,1,0.31818,600
131,4497.6,5186.3,1.00691,1.3338,1.51646,0,1,0.26316,750
132,23.7,32.5,1.05197,1.1812,2.22753,0,0,0.77778,60
133,1048.9,1040.5,1.05138,1.07009,1.2761,0,0,0.66667,300
134,239.5,315.1,1.05008,1.07829,1.17735,0,1,0.8,100
135,260.6,351.8,1.02397,1.04081,1.17632,0,1,0.8,120
136,138.9,123.3,1.00729,1.07116,1.07116,0,1,0.5,150
137,128.4,151.9,1.00059,1.12683,1.12683,0,1,0.6,75
138,285,316,1.04283,1.10622,1.10622,0,1,0.5,110
139,77.3,101,1.0069,1.3048,1.3048,0,0,0.5,90
140,5411.5,5086.3,1.02548,1.05641,1.29599,0,1,0.38889,815
141,3864.6,3991,1.02963,1.0323,1.48893,0,1,0.41176,800
142,2976,2832.4,1.06799,1.17414,1.56334,0,1,0.375,440
143,257.5,205.9,1.01018,1.04526,1.05595,1,1,0.8,130
144,36.4,42,1.02332,1.09791,1.09791,0,1,0.75,45
145,182.5,223.1,1,1.26493,1.26493,0,0,0.4,90
146,1367.1,1433.6,1.07465,1.08446,1.35155,0,0,0.8,475
147,76.8,75.3,1.01507,1.05527,1.05527,1,1,0.75,90
148,1747.9,1493.5,1.01231,1.1942,1.31394,0,0,0.54545,445
149,5734.4,5427.3,1.0202,1.02571,1.3233,0,1,0.88889,700
150,5884.7,6097.4,1.03037,1.08206,1.26745,0,1,0.38889,900
151,346.5,331.1,1.12303,1.12316,1.47592,0,0,0.625,190
152,646.4,818.5,1.29112,1.38469,1.59691,0,1,0.45455,400
153,760.8,718.2,1.02365,1.05158,1.05158,1,0,0.5,185
154,169.8,176,1.02389,1.02754,1.05433,1,0,0.44444,125
155,138.8,151.6,1.00853,1.08094,1.08094,0,1,0.75,60
156,346.8,394.2,1.10806,1.11556,1.11556,0,0,0.375,150
157,1082.2,1085.9,1.0761,1.08797,1.34776,0,1,0.66667,400
158,253.7,270.9,1.07228,1.3412,1.3412,0,0,0.6,200
159,433.2,545.3,1.00422,1.18435,1.24967,0,0,0.71429,230
160,10270.5,10467.4,1.03748,1.04612,1.284,0,1,0.4,720
161,1398,1414.7,1.09989,1.12889,1.22787,0,0,0.71429,460
162,2140.9,2152,1.00491,1.02566,1.02566,0,1,0.42857,400
163,6584.1,5949.4,1.02135,1.03414,1.37884,0,1,0.5,675
164,666.8,641.5,1.14124,1.2495,1.31278,0,0,0.55556,240
165,108.1,99.6,1.08943,1.21201,1.21201,0,0,0.5,65
166,106.1,95.3,1.00661,1.07263,1.33137,0,0,0.85714,125
167,549.6,413.1,1.0291,1.12878,1.12878,1,1,0.6,120
168,1272,949.5,1.01918,1.02475,1.10157,1,0,0.55556,450
169,122.8,132.3,1.06736,1.3051,1.3051,0,0,0.3,130
170,359.5,333.5,1.03525,1.04301,1.29319,0,1,0.5,190
171,1731.5,1672.5,1.19267,1.21635,1.21635,0,1,0.33333,400
172,31.7,28.3,1.06263,1.2212,1.2212,0,0,0.5,60
173,3300,2805.9,1.00757,1.05891,1.08968,1,1,0.44444,525
174,480.6,480.3,1.13607,1.34698,1.36586,0,0,0.66667,125
175,673.1,655.8,1,1.0845,1.10744,0,0,0.83333,100
176,117,99.9,1.04192,1.07735,1.07735,1,0,0.75,100
177,1157.4,891.2,1.01295,1.09076,1.09076,1,0,0.75,450
178,166.8,132,1.07707,1.08335,1.08335,1,0,0.42857,120
179,668.5,596.9,1.03133,1.05542,1.05542,1,1,0.75,120
180,7622.2,7871.2,1.06781,1.08947,1.18429,0,1,0.375,700
181,201.3,182.9,1.04814,1.07143,1.07143,0,0,0.42857,90
182,1270.1,1306.3,1.02258,1.07352,1.07352,1,1,0.75,195
183,1055.1,1148.7,1.03627,1.10087,1.33284,0,1,0.45455,400
184,5212.2,5090.9,1.01774,1.01786,1.25398,0,1,0.5625,500
185,5654.9,5447.6,1.04491,1.06438,1.06438,1,1,0.375,500
186,856.5,938.1,1.06181,1.15976,1.23706,0,1,0.5,375
187,89,66.1,1.15552,1.18257,1.19208,1,1,0.5,90
188,200,169,1.10151,1.12477,1.12477,1,1,0.75,90
189,234,179.7,1.03977,1.04869,1.07225,0,0,0.8,170
190,116.6,125.9,1.05611,1.07894,1.07894,0,1,0.75,80
191,82.1,93,1,1.15889,1.39368,0,0,0.75,100
192,207.8,214.3,1.07698,1.09489,1.09489,0,0,0.5,155
193,463.3,474.9,1.00903,1.04904,1.18654,0,0,0.88889,215
194,7385.6,8460.9,1.04472,1.05852,1.05852,0,0,0.23077,505
195,91.7,100.3,1.02867,1.12586,1.18879,0,1,0.57143,90
196,546.2,622.9,1.00235,1.07635,1.07635,0,0,0.375,165
197,740.3,810.3,1,1.03483,1.1459,0,0,0.44444,175
198,888.4,883.3,1.01844,1.0371,1.18272,1,0,0.83333,250
199,656.8,750.8,1.03327,1.06556,1.11905,1,1,0.44444,180
200,1884.4,1550.5,1.01914,1.0868,1.0868,1,1,0.42857,350
201,4448.1,4197.8,1.01046,1.02215,1.02215,1,0,0.5,660
202,258.2,182,1.00732,1.02541,1.04932,1,1,0.8,130
203,1949.6,1880.8,1.05165,1.10803,1.17919,1,1,0.44444,330
204,235.3,230.8,1.01587,1.08762,1.12906,1,0,0.83333,90
205,35.2,39.2,1.03338,1.39979,1.39979,0,1,0.6,45
206,244.8,221.9,1.00543,1.02878,1.17723,1,0,0.8,90
207,648.9,563.9,1.02119,1.02659,1.02659,1,0,0.6,140
208,391.5,358.5,1.02829,1.09437,1.09437,1,0,0.6,100
209,267.8,249.9,1.03914,1.06844,1.1182,1,0,0.36364,255
210,2130,2019.9,1.10956,1.16759,1.1922,0,1,0.71429,450
211,301.2,303.2,1.0761,1.10834,1.10834,1,0,0.6,110
212,1077.9,878.7,1.04175,1.06434,1.06768,1,0,0.8,190
213,927.4,902,1.11036,1.16285,1.16285,0,1,0.25,400
214,241.7,244,1.04946,1.16941,1.16941,1,1,0.75,45
215,65.8,82.4,1.18645,1.20456,1.2289,0,1,0.44444,60
216,1208.4,1230.3,1,1.30919,1.4982,0,0,0.30769,295
217,9453.4,9479.7,1.02255,1.03217,1.14419,0,1,0.31579,500
218,7098.1,8296.8,1.00855,1.03726,1.19543,0,1,0.5,510
219,912.1,1137.7,1,1.28672,1.28672,0,0,0.33333,220
220,260,319.6,1.00717,1.06833,1.06854,1,0,0.8,90
221,8992.3,10743.6,1.03058,1.05344,1.36599,0,1,0.45455,650
222,339.9,428.8,1.20245,1.23939,1.23939,0,1,0.375,165
223,833.7,859.7,1.05191,1.06098,6.04598,1,0,0.33333,450
224,4833.8,6225,1,1.06601,1.37437,0,0,0.53333,520
225,271.9,223.9,1.01232,1.03402,1.10971,1,1,0.66667,110
226,2966.3,4433.5,1.0773,1.30852,1.51367,0,0,0.25,720
227,577.4,701.1,1,1.25713,1.25713,0,0,0.25,150
228,10480.3,10276.3,1.02502,1.03832,1.30423,0,1,0.6875,570
229,462.4,444.2,1.04262,1.04489,1.05778,0,1,0.8,120
230,2558.2,2741.1,1.14482,1.16483,1.19685,0,1,0.44444,365
231,2814.9,2816.7,1.02002,1.11954,1.26368,0,0,0.54545,540
232,119.8,122.2,1,1.06686,1.29526,0,0,0.66667,90
233,3184.9,3373,1,1.02879,1.35838,0,1,0.58333,240
234,473.2,548,1.111,1.12516,1.12516,0,0,0.375,130
235,400.5,496.7,1.06915,1.08216,1.18507,0,1,0.5,90
